timestamp_utc,experiment_id,parent_experiment_id,stage,method,seed,hypothesis,changed_parameters,unchanged_controls,expected_effect,actual_effect,result,next_action,artifact_path
2026-07-27T08:24:32+00:00,replay_100mm_direct_attempt001,,REPLAY_VALIDATION,FSM-reference,20260727,"seeded raw timing reproduces complete accepted 100 mm traversal","full raw timing; fixed seed; 3 s observation tail; every-step safety checks; normal telemetry stride 3","source commands; asset; physics; success definition; 2 N support threshold","dispatch all 68 aggregate events and 101 expanded commands; four-wheel top stable dwell; no safety failure","68/68 events and 101/101 commands; +0.758307 m; no safety fault; front wheels top but rear wheels remained at riser, matching the partial endpoint encoded by the source recording",FAIL,"retain as a failed traversal and use it only as a partial 100 mm FSM reference; add contact-gated rear transfer on the development split",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\replay\replay_100mm_direct_attempt001\diagnosis.md
2026-07-27T08:26:14+00:00,runtime_fk_validation_001,,KINEMATICS_VALIDATION,diagnostic,2026072701,"analytic FK matches Isaac wheel centers for at least 1000 safe configurations","post-step wheel centers compared with pre-step commanded joint positions","asset; sampled command envelope; airborne placement","maximum error below 0.5 mm","p95 error 2.36 micrometres but sparse 7.98 mm outliers occurred because dynamics moved joints between the mismatched timestamps",INVALIDATED,"compare body positions with actual joint positions from the same post-step state",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\diagnostics\runtime_fk_validation_001.json
2026-07-27T08:27:01+00:00,runtime_fk_validation_002,runtime_fk_validation_001,KINEMATICS_VALIDATION,diagnostic,2026072701,"same-time actual joint positions remove validator-only dynamic mismatch","post-step actual joint positions and wheel centers; fixed environment seed","asset; 1024 sampled configurations; safe envelope; 0.5 mm tolerance","all 4096 leg comparisons pass","PASS: max 3.821 micrometres; RMS 0.781 micrometres; no safe-limit violation or external contact",PASS,"run full vector residual-environment validation",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\diagnostics\runtime_fk_validation_002.json
2026-07-27T08:28:24+00:00,residual_env_validation_002,,ENV_VALIDATION,diagnostic,20260727,"16-env 500+ step run preserves exact zero residual and finite observations","automatic termination allowed during post-step equality assertion","asset; environment; zero actions; 520 control steps","finite contact and observations; exact zero residual","finite 96-D/146-D observations but equality assertion compared pre-reset targets with post-reset references after phase-timeout resets",INVALIDATED,"disable automatic termination only in the same-step equality validator; separately assert explicit vector reset",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\diagnostics\residual_env_validation_002.json
2026-07-27T08:30:10+00:00,residual_env_validation_003,residual_env_validation_002,ENV_VALIDATION,diagnostic,20260727,"same-episode target/reference comparison verifies exact zero residual without losing reset coverage","standing external reference for 180-step contact settle; disabled automatic termination for equality; explicit reset check; 300 zero and 40 random steps","asset; environment; action bounds; observation schemas","all checks pass","PASS: all 16 environments had four supported wheels after settling; exact servo and wheel errors were 0; explicit reset and 96-D actor/146-D critic observations finite",PASS,"begin contact-gated FSM development",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\diagnostics\residual_env_validation_003.json
2026-07-27T08:42:30+00:00,fsm_dev_50mm_attempt001,,FSM_DEVELOPMENT,FSM-only,20260727,"wheel-distance-preserving reference plus physical contact gates traverses the first perturbed 50 mm development scenario","zero residual; one scenario; contact event required at phase boundary but not latched","asset; metrics; development scenario; safe commands","reach stable four-wheel top support","reached phase 5 and +0.725467 m but timed out because both-front-top had occurred earlier and was no longer simultaneous at the planned boundary",FAIL,"latch each physical exit milestone after 3-step debounce for the remainder of its phase",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\fsm\development_50mm_attempt001\result.json
2026-07-27T08:56:46+00:00,fsm_dev_50mm_attempt002,fsm_dev_50mm_attempt001,FSM_DEVELOPMENT,FSM-only,20260727,"latched contact milestones let the source-derived FSM progress through transient lift/place contacts","3-step debounced milestone latch; contact/force/position status telemetry; rear-transfer 0.3 rad/s fallback","asset; metrics; scenario; actuator limits","advance beyond phase 5 and reach stable success without collision","advanced through phase 8 and +0.987524 m, but a non-wheel collision occurred while a linearly interpolated manual servo target swept the lifted rear-left leg through an unsafe path",FAIL,"restore the accepted log's zero-order-hold actuator-target semantics; retain physical drive dynamics and all contact gates",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\fsm\development_50mm_attempt002\result.json
2026-07-27T08:59:20+00:00,fsm_dev_50mm_attempt003,fsm_dev_50mm_attempt002,FSM_DEVELOPMENT,FSM-only,20260727,"zero-order-held accepted actuator targets remove the interpolation-only collision path","zero-order hold for servo and wheel commands; latched contact gates; rear-transfer fallback","asset; metrics; scenario; actuator limits; wheel travel integral","reach stable four-wheel top support without safety termination",RUNNING,RUNNING,"inspect live status and final raw episode before choosing the next development change",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\fsm\development_50mm_attempt003
2026-07-27T08:59:20.286Z,fsm_dev_50mm_attempt003,fsm_dev_50mm_attempt002,FSM_DEVELOPMENT,FSM-only,20260727,"zero-order-held accepted actuator targets remove the interpolation-only collision path","zero-order hold for servo and wheel commands; latched contact gates; rear-transfer fallback","asset; metrics; first perturbed 50 mm development scenario","reach stable four-wheel top support without safety termination","PASS: stable success at 133.3167 s; +1.140915 m; minimum support margin 0.132391 m; pitch-rate RMS 0.061282 rad/s; no safety termination",PASS,"continue 100 mm development; rerun 50 mm after final FSM configuration is fixed",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\fsm\development_50mm_attempt003\result.json
2026-07-27T09:11:30.051Z,fsm_dev_100mm_attempt001,,FSM_DEVELOPMENT,FSM-only,20260727,"partial 100 mm reference plus contact gates traverses the first perturbed 100 mm development scenario","pre-fix initialization; zero residual; one scenario","asset; metrics; development scenario","reach stable four-wheel top support without safety termination","immediate body/link collision caused by scenario pose application before nominal physical settling",INVALIDATED,"settle nominal standing before scenario placement and derive pitched root height from wheel geometry",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\fsm\development_100mm_attempt001\result.json
2026-07-27T09:14:11.577Z,fsm_dev_100mm_attempt002,fsm_dev_100mm_attempt001,FSM_DEVELOPMENT,FSM-only,20260727,"corrected initialization removes validator-induced collision","120 physics-step settle before scenario placement; zero residual; one scenario","asset; metrics; development scenario","advance beyond approach contact gate","initialized without collision and advanced to phase 2, then timed out without front contact at 12.35 s after +0.124 m",FAIL,"add a conservative 0.3 rad/s forward wheel fallback while phase-2 front contact is absent",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\fsm\development_100mm_attempt002\result.json
2026-07-27T09:17:09.146Z,fsm_dev_100mm_attempt003,fsm_dev_100mm_attempt002,FSM_DEVELOPMENT,FSM-only,20260727,"approach fallback reaches contact and allows the partial reference to advance","contact-gated 0.3 rad/s approach/rear-transfer fallback; timeout scale 2","asset; metrics; development scenario","reach rear transfer without safety termination","advanced safely through phase 7; rear wheels moved toward the riser but the partial 100 mm source contained no rear-leg lift/place commands and phase 7 timed out at 59.75 s",FAIL,"reuse the physically successful 50 mm rear-leg reference without changing contact gates",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\fsm\development_100mm_attempt003\result.json
2026-07-27T09:24:05.962Z,fsm_dev_100mm_attempt004,fsm_dev_100mm_attempt003,FSM_DEVELOPMENT,FSM-only,20260727,"50 mm rear-leg lift/place commands can complete the missing portion of the partial 100 mm reference","phase-7/8-only rear-channel substitution; timeout scale 4; zero residual","asset; metrics; development scenario; command envelope","reach rear transfer and stable four-wheel top support without safety termination","phase-7 entry jumped rear references from [-0.7 0 -0.7 0] to [24.2 0 29.8 -44.8] deg; pitch rate peaked at 0.9248 rad/s and body/link collision terminated the run",FAIL,"apply complete 50 mm rear channels from time zero and retain their slower source time base",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\fsm\development_100mm_attempt004\diagnosis.md
2026-07-27T09:32:22.403Z,fsm_dev_100mm_attempt005,fsm_dev_100mm_attempt004,FSM_DEVELOPMENT,FSM-only,20260727,"continuous complete-source rear channels remove the proven phase-boundary discontinuity","50 mm rear channels from time zero; slower complete-source duration at all heights; zero residual; one scenario","asset; metrics; scenario; contact gates; safety thresholds","reach stable four-wheel top support without safety termination","phase 5 stalled at u=0.50 for 31.15 s before the 100 mm source's front-leg placement; its held 0.3 rad/s command added 0.448 m travel and put both rear wheels at the riser before rear-leg preparation, ending in collision at 84.433 s",FAIL,"use the source-evidenced u=0.574 phase-5 boundary at 100 mm and zero wheel speed during non-recovery gate waits",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\fsm\development_100mm_attempt005\diagnosis.md
2026-07-27T09:45:30.179Z,fsm_dev_100mm_attempt006,fsm_dev_100mm_attempt005,FSM_DEVELOPMENT,FSM-only,20260727,"height-conditioned phase timing and zero-speed gate waits remove excess gate travel","100 mm phase-5 upper u=0.574; height interpolation; zero wheel speed at non-recovery gates; terminal per-link force capture","asset; metrics; scenario; contact and 5 N collision thresholds","complete front placement and begin rear preparation without excess approach travel or collision","gate overtravel was removed, but the unwarped 50 mm rear-left hip preparation began during 100 mm front placement; roll reached -0.1230 rad and base_link contact reached 5.1133 N at 69.10 s",FAIL,"continuously time-warp the rear reference so its u=0.50 preparation point follows height-specific front placement",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\fsm\development_100mm_attempt006\diagnosis.md
2026-07-27T09:53:50.895Z,fsm_dev_100mm_attempt007,fsm_dev_100mm_attempt006,FSM_DEVELOPMENT,FSM-only,20260727,"continuous rear timing after front placement removes premature body contact","height-conditioned rear time map; source-evidenced phase boundary; zero-speed gate waits","asset; metrics; scenario; contact and 5 N collision thresholds","finish front placement and rear preparation without body/link collision","crossed the prior 69.10 s failure and entered phase 6, but the held 0.3 rad/s source wheel command advanced base x by 70.6 mm during rear preparation; base_link contact reached 38.5535 N at 78.833 s",FAIL,"hold wheel speeds at zero throughout BODY_TRANSFER and retain contact-gated rolling only in phases 7-8",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\fsm\development_100mm_attempt007\diagnosis.md
2026-07-27T10:03:01.345Z,fsm_dev_100mm_attempt008,fsm_dev_100mm_attempt007,FSM_DEVELOPMENT,FSM-only,20260727,"zero-speed BODY_TRANSFER prevents source wheel motion from pushing the straddling base across the edge","phase-6 wheel hold; continuous rear time map; contact-gated phase-7/8 recovery","asset; metrics; scenario; contact and 5 N collision thresholds","complete rear preparation without base/link contact","phase-6 travel fell to 18.7 mm and base_link force fell to 19.0039 N, but sequential left-then-right rear preparation still created a diagonal load transient and collision at 78.85 s",FAIL,"synchronize both rear hips during BODY_TRANSFER while preserving recorded-safe endpoints and wheel hold",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\fsm\development_100mm_attempt008\diagnosis.md
2026-07-27T10:15:04.437Z,fsm_dev_100mm_attempt009,fsm_dev_100mm_attempt008,FSM_DEVELOPMENT,FSM-only,20260727,"synchronized rear hips remove the diagonal BODY_TRANSFER transient","height-blended smoothstep rear coordination; phase-6 wheel hold; continuous endpoints","asset; metrics; scenario; contact and 5 N collision thresholds","complete rear preparation without base/link contact","roll fell to 0.0380 rad and base_link contact fell to 9.3215 N, but pitch reached -0.1239 rad because the short active front-leg posture did not provide enough edge clearance",FAIL,"first extend front support to the recorded 100 mm recovery posture, then synchronize rear preparation",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\fsm\development_100mm_attempt009\diagnosis.md
2026-07-27T10:35:11.236Z,fsm_dev_100mm_attempt010,fsm_dev_100mm_attempt009,FSM_DEVELOPMENT,FSM-only,20260727,"staged front support removes phase-6 body contact and permits rear-wheel transfer","recorded-safe front extension; synchronized rear preparation; phase-6 wheel hold; contact-gated rear roll","asset; metrics; scenario; contact and joint-limit thresholds","reach stable four-wheel top support without safety termination","no body/link collision; right-rear top and left-rear front-face contact; +0.843341 m progress; +0.158809 m minimum support margin; strict JOINT_LIMIT at 124.35 s while terminal reference contained recorded-envelope endpoints",FAIL,"repeat unchanged scenario with first-violation joint-position diagnostics before selecting any command change",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\fsm\development_100mm_attempt010\diagnosis.md
2026-07-27T10:49:15.984Z,fsm_dev_100mm_attempt011,fsm_dev_100mm_attempt010,FSM_DEVELOPMENT,FSM-only,20260727,"unchanged reproduction identifies the exact source of the attempt-010 joint-limit termination","identical controller and scenario; first-violation joint diagnostics only","controller; asset; metrics; scenario; all thresholds","reproduce termination and measure the actual violating joint before tuning","bit-identical telemetry; only rear_right_hip violated; raw position exceeded recorded upper limit plus unchanged 2 degree tolerance by 0.0000605394 rad (0.0034686 deg)",DIAGNOSTIC_FAIL,"keep every FSM servo reference 1 degree inside the recorded command envelope and rerun",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\fsm\development_100mm_attempt011\diagnosis.md
2026-07-27T11:03:51.590Z,fsm_dev_100mm_attempt012,fsm_dev_100mm_attempt011,FSM_DEVELOPMENT,FSM-only,20260727,"a 1 degree command-envelope margin removes the measured joint overshoot and permits full four-wheel traversal","1 degree FSM target inset; staged front support; coordinated rear transfer; unchanged physical tolerances","asset; metrics; scenario; contact and safety thresholds","reach stable four-wheel top support without joint-limit or body/link termination","passed the former joint-limit point and reached all-four top plus DRIVE_CLEAR; held asymmetric rear transfer pose grew roll to about 0.078 rad, unloaded front-right wheel, and caused front_right_bot contact at 7.29096 N and 145.5167 s",FAIL,"smoothly recover the rear legs to the exact successful 50 mm final pose during phase 9 after both-rear-top contact",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\fsm\development_100mm_attempt012\diagnosis.md
2026-07-27T11:21:54.893Z,fsm_dev_100mm_attempt013,fsm_dev_100mm_attempt012,FSM_DEVELOPMENT,FSM-only,20260727,"post-transfer rear recovery levels the platform support and prevents the prior early front-link contact","full smoothstep toward successful 50 mm final rear pose in phase 9","asset; metrics; scenario; all thresholds","maintain four-wheel load and complete stable dwell without collision","roll decreased to about 0.0081 rad and contact was delayed to 149.433 s, but full recovery lifted rear-left to 0.18172 m with zero load and eventually caused 7.35687 N front_right_bot contact; at 10% recovery all four forces were 6.13/6.64/7.96/6.52 N",FAIL,"cap recovery at the measured 10% balanced-load point and hold it",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\fsm\development_100mm_attempt013\diagnosis.md
2026-07-27T11:37:47.804Z,fsm_dev_100mm_attempt014,fsm_dev_100mm_attempt013,FSM_DEVELOPMENT,FSM-only,20260727,"holding the measured 10% rear recovery point maintains a static four-wheel equilibrium","smoothstep capped at 10% of recorded final-rear direction","asset; metrics; scenario; all thresholds","maintain every wheel above 2 N and complete stable dwell without collision","the 132 s balanced forces were transient; after the fixed reference settled the split returned to 11.79/0.00/2.82/14.35 N and front_right_bot contact reached 26.8161 N at 145.55 s",FAIL,"add bounded contact-driven front-wheel load trim through validated IK during RECOVER/DRIVE_CLEAR",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\fsm\development_100mm_attempt014\diagnosis.md
2026-07-27T11:53:51.694Z,fsm_dev_100mm_attempt015,fsm_dev_100mm_attempt014,FSM_DEVELOPMENT,FSM-only,20260727,"bounded contact-driven front trim restores the unloaded front-right support","2/4 N hysteresis; 2.5 mm/s; 10 mm maximum; validated IK and recorded joint envelope","asset; metrics; scenario; all thresholds","maintain all four forces above 2 N and complete stable dwell without collision","3.583 mm trim produced measured 9.80/2.32/4.56/12.02 N forces, but continued extension to 6.875 mm caused 5.07742 N front_right_bot contact at 134.3167 s",FAIL,"tighten the extension bound to the measured 3.5 mm supported point",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\fsm\development_100mm_attempt015\diagnosis.md
2026-07-27T12:08:09.380Z,fsm_dev_100mm_attempt016,fsm_dev_100mm_attempt015,FSM_DEVELOPMENT,FSM-only,20260727,"a measured 3.5 mm front-right extension cap maintains four-wheel static support","2/4 N hysteresis; 2.5 mm/s; 3.5 mm maximum; validated IK","asset; metrics; scenario; all thresholds","maintain all four forces above 2 N and complete stable dwell without collision","front-right remained at 0 N after the trim reached its 3.5 mm cap; front_right_bot contact reached 24.1183 N at 145.5333 s",FAIL,"reject unloaded-leg extension and instead shorten the currently high-load legs to unload the dominant diagonal",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\fsm\development_100mm_attempt016\diagnosis.md
2026-07-27T12:23:30.028Z,fsm_dev_100mm_attempt017,fsm_dev_100mm_attempt016,FSM_DEVELOPMENT,FSM-only,20260727,"shortening the high-load FL/RR diagonal redistributes support onto front-right","4/8 N unload hysteresis; 1.5 mm/s; 5 mm maximum; validated IK","asset; metrics; scenario; all thresholds","restore front-right force and complete stable dwell without collision","FL/RR both reached 5 mm radial shortening but front-right remained at 0 N; front_right_bot contact reached 10.4382 N at 145.5167 s",FAIL,"run a vectorized 25-candidate phase-9 front-right wheel-center offset grid instead of further serial guesses",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\fsm\development_100mm_attempt017\diagnosis.md
2026-07-27T12:34:00.000Z,fsm_diag_100mm_recovery_grid_001,fsm_dev_100mm_attempt017,FSM_DEVELOPMENT,FSM-only,20260727,"a bounded front-right wheel-center offset during phases 9 and 10 can remove the diagonal support split","25-candidate dx/dz grid; rejected unload loop disabled","asset; metrics; first 100 mm development scenario; all safety thresholds","identify at least one strict-success recovery geometry","audit found that the offset ramp reset discontinuously at phase 10; all candidates were still in phase 5 before any offset was applied, and exact PID 142060 was stopped",INVALIDATED,"hold the phase-9 endpoint continuously through phase 10 and rerun as grid 002",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\fsm\diagnostic_100mm_recovery_grid_001\INVALIDATION.json
2026-07-27T12:49:34.445Z,fsm_diag_100mm_recovery_grid_002,fsm_diag_100mm_recovery_grid_001,FSM_DEVELOPMENT,FSM-only,20260727,"a continuous bounded front-right wheel-center offset through phases 9 and 10 can remove the diagonal support split","25-candidate dx/dz grid with continuous phase-10 hold; rejected unload loop disabled","asset; metrics; first 100 mm development scenario; all safety thresholds","identify at least one strict-success recovery geometry","0/25 strict successes and all first terminal classifications were BODY_OR_LINK_COLLISION; front-right-only geometry is rejected; detailed terminal tensors for 24 candidates were overwritten after auto-reset, while latched success and failure classifications remain valid",FAIL,"repeat identical grid with immediate first-terminal snapshot capture to obtain trustworthy geometry evidence",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\fsm\diagnostic_100mm_recovery_grid_002\diagnosis.md
2026-07-27T13:05:10.000Z,fsm_diag_100mm_recovery_grid_003,fsm_diag_100mm_recovery_grid_002,FSM_DEVELOPMENT,FSM-only,20260727,"immediate first-terminal snapshots reproduce the 0/25 front-right-only result and reveal the physical failure plane","identical 25-candidate front-right dx/dz grid; recorder copies terminal tensors at first done","asset; controller; metrics; first 100 mm development scenario; all safety thresholds","obtain trustworthy terminal geometry without changing physical outcomes","0/25 strict successes; 22 phase-10 and 3 phase-9 front_right_bot collisions; zero-offset control reproduced 145.55 s and 26.8161 N; best-lived candidate reached 145.85 s but front-right support stayed 0 N at wheel-center z 0.11295 m",FAIL,"test the registered common-height plus right-side differential body-pose grid with IK fallback audit",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\fsm\diagnostic_100mm_recovery_grid_003\diagnosis.md
2026-07-27T13:19:30.000Z,fsm_diag_100mm_body_pose_grid_004,fsm_diag_100mm_recovery_grid_003,FSM_DEVELOPMENT,FSM-only,20260727,"a coordinated common-height and right-side height differential during phases 9-10 restores the top support plane","25-candidate common z +/-10 mm and right delta +/-5 mm grid; zero-offset control; IK fallback audit","asset; controller; metrics; first 100 mm development scenario; all safety thresholds","identify a fully applied strict-success support-plane candidate","0/25 successes; all front_right_bot collisions; 17 candidates had zero IK fallback and still failed; best fully applied candidate reached 145.80 s with front-right support 0 N and wheel-center z 0.11266 m",FAIL,"move the intervention earlier and grid-search front-right hip/knee support posture during phase 6 inside the recorded-safe envelope",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\fsm\diagnostic_100mm_body_pose_grid_004\diagnosis.md
2026-07-27T14:12:13.956Z,fsm_diag_100mm_front_support_grid_005,fsm_diag_100mm_body_pose_grid_004,FSM_DEVELOPMENT,FSM-only,20260727,"an earlier recorded-safe front-right support posture clears the post-transfer front link and restores stable four-wheel support","25-candidate phase-6 front-right hip/knee offset grid; continuous hold through phase 10; clamp and IK audits","asset; controller; metrics; first 100 mm development scenario; all safety thresholds","identify a fully applied strict-success early support posture","0/25 strict successes; 23 collisions and 2 global timeouts; all candidates had zero IK fallback and zero command clamp; candidate -3/-15 deg entered phase 10 without collision but timed out with FL/FR/RL/RR forces 0.09/14.79/13.86/0.00 N",FAIL,"hold the collision-free posture and independently extend only its measured unloaded front-left/rear-right diagonal by 0-6 mm during phases 9-10",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\fsm\diagnostic_100mm_front_support_grid_005\diagnosis.md
2026-07-27T14:13:19.000Z,fsm_diag_100mm_unloaded_diagonal_grid_006,fsm_diag_100mm_front_support_grid_005,FSM_DEVELOPMENT,FSM-only,20260727,"the registered unloaded-diagonal grid starts in an auditable fresh output directory","unchanged grid; initial launcher pre-created its output directory","source; controller; physics parameters; scenario; thresholds","initialize Isaac and execute 25 candidates","diagnostic rejected the existing output directory with FileExistsError before environment construction or any candidate step",INVALIDATED,"preserve the empty directory and logs; launch unchanged physical experiment as grid 007 without pre-creating its output directory",C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\fsm\diagnostic_100mm_front_support_unloaded_diagonal_grid_006\INVALIDATION.json
