hypothesis,verdict,confidence,evidence,counter-evidence,affected methods,affected heights,recommended diagnostic,recommended fix priority
100 mm collision comes from insufficient baseline lift clearance,PARTIALLY_SUPPORTED,MEDIUM,FSM and B share 7 rear/body-link collisions; residual is zero,terminal-only collision evidence cannot reconstruct clearance,"FSM,B",100,replay collision episodes with link clearance logging,P1
100 mm collision comes from negative residual z,NOT_SUPPORTED,HIGH,executed residual is zero in final collision episodes,Raw actor channels can be nonzero before gating,B,100,plot executed z by collision episode,P3
100 mm collision comes from wheel residual advancing before placement,NOT_SUPPORTED,HIGH,executed wheel residual is zero and FSM has the same failures,FSM reference itself commands post-transfer drive,B,100,separate reference and residual wheel commands,P3
TIMEOUTs cluster in a specific FSM phase,SUPPORTED,HIGH,fsm_failure_reasons.csv and episode timelines show DRIVE_CLEAR/late-phase stalls,Some global timeouts may have different transient histories,"FSM,B",75/100,add phase-at-timeout scalar to episodes.jsonl,P0
Timeout exposes slow behavior rather than a bad timeout setting,PARTIALLY_SUPPORTED,MEDIUM,75 mm successes and failures run close to 150 s; phase gates stall on support,The 150 s cap can still change pass/fail near the boundary,"FSM,B",75,measure required stable-dwell acquisition time,P1
PPO stalls in late phases without effective progress reward,PARTIALLY_SUPPORTED,MEDIUM,late-phase timeouts and near-zero executed residual,phase-progress and recovery rewards exist,B,75/100,log phase occupancy and per-phase reward,P1
Success dwell and FSM completion conditions are inconsistent,SUPPORTED,HIGH,phase-10 gate uses top+tilt+angular speed; success additionally requires 4-wheel upward-force support and 1.5 s dwell,The stricter success predicate is intentional,"FSM,B,C",all,expose completion predicates side by side,P1
Contact classification confuses step top and riser,INSUFFICIENT_EVIDENCE,LOW,classification has geometric disambiguation and tests,No per-contact ground-truth opposing shape exists,"FSM,B,C",all,targeted contact replay with visual markers,P2
CoM margin is invalid or has the wrong sign,NOT_SUPPORTED,MEDIUM,formula is min distance to support interval; values are plausible and validity is tracked,many samples are invalid and encoded zero for critic,"B,C",all,log invalid-rate and reason,P2
Actor lacks key phase-completion information,PARTIALLY_SUPPORTED,MEDIUM,"actor lacks contact classes, forces and support margin; critic has them",actor receives FSM phase/progress and proprioception,"B,C",all,ablate deployable contact proxies,P1
Actor observation mismatches future robot feedback,PARTIALLY_SUPPORTED,MEDIUM,perfect obstacle/detection validity/age are injected in simulation,"IMU, joint and velocity terms are deployment-oriented","B,C",all,write real-sensor availability table,P1
Domain randomization ranges are unreasonable,INSUFFICIENT_EVIDENCE,LOW,bounded ranges are documented; no coverage-response analysis,development set uses similar bounded factors,"B,C",all,stratify success by friction/delay/noise/distance,P2
Most training episodes never reach late phases,INSUFFICIENT_EVIDENCE,LOW,training phase occupancy is not logged,development telemetry reaches late phases,"B,C",all,log phase occupancy histogram,P1
Reward scales are imbalanced,PARTIALLY_SUPPORTED,MEDIUM,large raw-action regularizers (-120/-180 per second) apply even when action is physically gated,terminal success/failure weights are ±200,"B,C",all,log per-term returns and applied-vs-raw regularization,P0
Value function learning failed,INSUFFICIENT_EVIDENCE,LOW,value loss exists but explained variance is not logged,training stayed finite,B,all,log explained variance and value targets,P2
Entropy/exploration is inappropriate,SUPPORTED,MEDIUM,"entropy_loss_scale=0; log_std constrained to [-5,-4], giving very small exploration",small exploration was intentionally chosen for FSM safety,"B,C",all,measure executed-action exploration after gating,P1
Residual PPO only works by chance on one seed,NOT_SUPPORTED,HIGH,all three seeds give the same final development success counts; none beats gate,policy weights differ,B,all,paired outcome difference table,P3
Evaluation loads the wrong checkpoint or config,NOT_SUPPORTED,HIGH,gate decisions hash-match final_agent and result provenance matches current configs,best_agent is not evaluated by the gate,B,all,keep explicit checkpoint/hash output in viewer,P3
